Product,Sale Date,Quantity Sold,Sale Price (USD),Total Sale (USD)
Laptop,2022-07-22,2,1393.92,2787.85
Monitor,2022-01-10,1,221.75,221.75
Smartwatch,2022-05-11,10,118.3,1183.03
Laptop,2022-01-12,3,796.6,2389.81
Mouse,2023-03-27,19,86.96,1652.24
Mouse,2024-01-19,6,29.98,179.85
Keyboard,2022-10-21,13,176.12,2289.51
Tablet,2023-11-19,7,472.4,3306.78
Smartwatch,2022-03-19,2,219.58,439.16
Mouse,2023-10-04,5,84.0,419.98
Tablet,2023-12-25,1,692.29,692.29
Smartphone,2022-07-22,11,605.44,6659.84
Laptop,2022-05-31,9,1456.64,13109.74
Laptop,2022-04-20,8,1234.86,9878.85
Printer,2023-06-08,18,206.02,3708.34
Laptop,2024-01-04,8,1137.77,9102.17
Tablet,2022-03-26,7,471.48,3300.38
Mouse,2022-06-28,8,38.91,311.25
Printer,2022-06-29,3,114.82,344.45
Printer,2023-11-16,3,260.84,782.52
Smartphone,2022-09-29,1,916.49,916.49
Smartphone,2023-11-18,8,881.99,7055.94
Printer,2023-10-27,13,303.64,3947.3
Tablet,2022-01-25,3,237.05,711.14
Headphones,2023-12-01,7,134.53,941.69
Mouse,2022-01-01,11,49.99,549.87
Camera,2023-09-16,4,1479.63,5918.54
Headphones,2022-07-21,9,272.08,2448.73
Smartphone,2023-06-15,19,382.35,7264.6
Printer,2023-08-04,3,268.9,806.7
Mouse,2022-08-24,13,52.8,686.37
Mouse,2022-06-18,9,99.48,895.29
Monitor,2023-04-08,8,383.84,3070.73
Smartwatch,2023-12-02,12,158.09,1897.13
Laptop,2023-06-11,12,783.28,9399.35
Headphones,2023-07-21,9,101.72,915.45
Laptop,2023-07-11,2,530.97,1061.95
Smartphone,2023-09-02,12,417.58,5010.97
Tablet,2022-09-17,4,544.08,2176.3
Smartphone,2023-01-23,19,815.3,15490.66
Monitor,2023-06-02,17,155.44,2642.4
Printer,2023-09-03,9,297.68,2679.1
Tablet,2023-05-05,10,542.72,5427.19
Smartwatch,2023-01-08,17,224.89,3823.2
Keyboard,2022-09-13,2,58.53,117.05
Smartphone,2024-01-05,16,317.85,5085.6
Keyboard,2024-01-04,19,129.23,2455.39
Mouse,2022-07-22,10,87.99,879.87
Mouse,2022-08-16,1,95.6,95.6
Smartwatch,2022-01-22,1,297.88,297.88
Mouse,2023-07-25,4,25.19,100.74
Keyboard,2023-02-08,19,66.87,1270.54
Mouse,2022-03-08,14,95.92,1342.86
Tablet,2022-07-03,2,394.01,788.03
Monitor,2022-01-12,1,444.82,444.82
Keyboard,2024-02-04,7,100.33,702.34
Keyboard,2022-07-08,15,112.82,1692.29
Keyboard,2023-10-27,8,148.08,1184.68
Camera,2022-02-24,8,1467.27,11738.2
Laptop,2022-08-22,14,1186.2,16606.83
Smartwatch,2023-02-25,15,107.89,1618.42
Headphones,2024-01-18,14,147.73,2068.19
Headphones,2023-04-24,11,92.09,1012.98
Laptop,2022-07-18,3,664.72,1994.15
Printer,2023-08-04,17,361.34,6142.7
Smartwatch,2022-09-25,20,321.79,6435.74
Mouse,2023-05-06,13,10.55,137.12
Laptop,2022-02-01,12,1337.19,16046.27
Printer,2023-02-01,14,234.49,3282.9
Keyboard,2023-11-10,3,61.88,185.65
Headphones,2022-08-31,18,85.46,1538.28
Keyboard,2023-03-24,18,39.22,705.93
Tablet,2022-05-25,2,481.61,963.23
Smartphone,2024-01-30,18,574.67,10344.08
Mouse,2022-09-29,9,98.53,886.73
Smartphone,2022-10-17,7,869.84,6088.85
Headphones,2023-01-19,20,168.03,3360.59
Monitor,2023-02-17,4,281.25,1124.98
Smartwatch,2023-10-15,20,114.49,2289.87
Printer,2024-02-06,11,121.4,1335.4
Keyboard,2023-10-12,14,149.7,2095.73
Headphones,2022-11-05,4,298.07,1192.28
Tablet,2022-12-11,1,581.99,581.99
Tablet,2023-02-13,7,289.63,2027.44
Headphones,2022-10-07,19,146.5,2783.56
Smartphone,2022-08-09,7,639.16,4474.09
Keyboard,2022-07-19,6,98.25,589.48
Keyboard,2022-03-29,16,174.18,2786.84
Laptop,2022-09-18,19,1218.03,23142.66
Laptop,2022-01-10,17,1472.31,25029.34
Mouse,2023-09-15,20,20.57,411.38
Camera,2022-09-14,15,619.3,9289.5
Printer,2024-02-04,20,188.6,3772.05
Monitor,2022-04-24,14,356.6,4992.44
Smartphone,2023-07-04,16,890.94,14255.09
Laptop,2023-07-12,10,851.08,8510.78
Headphones,2023-06-19,1,143.58,143.58
Camera,2023-09-11,14,717.95,10051.23
Keyboard,2023-05-19,8,79.39,635.13
Camera,2023-01-26,9,830.72,7476.44
Tablet,2023-03-12,14,359.82,5037.43
Printer,2023-09-29,13,194.13,2523.64
Smartwatch,2023-01-24,2,302.39,604.78
Headphones,2023-02-26,20,230.14,4602.8
Headphones,2023-10-30,14,289.46,4052.39
Monitor,2022-09-22,16,462.8,7404.72
Tablet,2023-02-08,3,592.66,1777.98
Smartphone,2022-12-26,3,443.01,1329.03
Smartwatch,2023-10-11,20,187.08,3741.65
Tablet,2022-02-20,10,582.29,5822.88
Camera,2022-10-05,12,526.87,6322.44
Tablet,2022-10-10,3,632.8,1898.39
Tablet,2022-12-31,13,265.03,3445.37
Headphones,2022-04-24,17,150.56,2559.57
Printer,2023-08-09,18,286.36,5154.43
Monitor,2023-09-11,20,105.09,2101.7
Keyboard,2023-10-20,12,179.33,2152.01
Tablet,2023-10-12,9,573.59,5162.28
Monitor,2022-12-10,4,163.17,652.67
Monitor,2022-09-19,13,138.59,1801.67
Mouse,2022-10-18,1,35.46,35.46
Smartphone,2022-01-21,2,383.39,766.78
Tablet,2022-05-13,4,317.1,1268.41
Smartphone,2023-08-20,18,389.62,7013.16
Headphones,2022-07-21,9,88.34,795.04
Keyboard,2022-03-24,16,35.52,568.36
Smartwatch,2023-08-05,17,177.95,3025.12
Camera,2024-02-14,12,1491.59,17899.13
Monitor,2022-07-30,18,183.34,3300.03
Smartwatch,2023-04-26,7,173.47,1214.31
Smartwatch,2022-12-08,19,138.54,2632.21
Headphones,2022-08-23,4,147.7,590.78
Camera,2022-09-22,2,932.28,1864.55
Camera,2023-06-08,17,608.36,10342.16
Keyboard,2022-12-21,14,197.42,2763.9
Keyboard,2023-01-11,2,51.12,102.24
Camera,2022-04-13,19,938.38,17829.13
Camera,2023-10-30,10,939.72,9397.25
Headphones,2024-02-10,9,50.65,455.87
Laptop,2022-12-26,1,917.58,917.58
Tablet,2022-09-27,13,250.94,3262.18
Laptop,2022-01-18,7,1224.69,8572.85
Monitor,2023-08-22,10,259.11,2591.09
Monitor,2023-08-15,4,140.48,561.92
Mouse,2022-09-23,20,95.11,1902.23
Keyboard,2023-01-16,3,90.91,272.72
Smartphone,2024-02-07,9,347.02,3123.19
Headphones,2022-01-19,18,197.97,3563.4
Printer,2022-05-21,14,241.19,3376.71
Smartwatch,2022-01-20,4,158.7,634.82
Keyboard,2022-12-18,1,54.41,54.41
Smartwatch,2022-12-07,8,256.41,2051.26
Smartwatch,2023-10-22,13,146.9,1909.69
Headphones,2022-10-05,6,243.31,1459.84
Smartwatch,2022-07-11,20,128.5,2570.07
Mouse,2022-06-17,17,75.59,1284.95
Tablet,2023-09-12,6,783.23,4699.39
Camera,2022-01-16,9,1206.21,10855.87
Laptop,2023-11-22,12,1048.53,12582.37
Camera,2024-01-24,13,410.18,5332.4
Monitor,2023-11-13,3,306.56,919.67
Smartphone,2023-08-13,6,920.59,5523.53
Smartphone,2022-04-17,7,759.81,5318.64
Monitor,2024-01-15,8,225.91,1807.26
Headphones,2023-04-30,5,82.59,412.95
Camera,2023-08-01,5,604.01,3020.06
Monitor,2023-07-04,17,225.72,3837.29
Mouse,2023-03-20,6,58.3,349.79
Smartwatch,2023-04-04,13,139.5,1813.45
Printer,2023-08-28,3,390.05,1170.16
Monitor,2023-01-15,7,249.37,1745.57
Mouse,2022-01-13,14,29.52,413.28
Monitor,2023-02-16,6,130.76,784.54
Tablet,2023-06-10,1,598.32,598.32
Tablet,2022-04-08,3,309.4,928.21
Headphones,2022-09-03,2,53.15,106.31
Keyboard,2022-03-30,3,165.93,497.79
Camera,2022-09-15,12,996.23,11954.8
Laptop,2022-12-04,5,875.98,4379.92
Smartphone,2023-03-23,19,472.87,8984.51
Mouse,2022-05-03,6,83.29,499.76
Mouse,2023-06-17,2,59.54,119.07
Laptop,2022-12-27,8,1227.06,9816.5
Camera,2022-02-01,11,553.11,6084.19
Mouse,2022-08-17,3,19.29,57.88
Mouse,2023-10-08,16,76.89,1230.26
Printer,2022-07-11,6,179.8,1078.77
Headphones,2023-10-13,20,110.9,2218.1
Laptop,2022-11-07,17,1006.62,17112.6
Tablet,2022-07-17,6,512.16,3072.99
Headphones,2023-09-05,9,51.01,459.12
Camera,2023-02-01,2,571.47,1142.93
Printer,2023-02-13,20,300.47,6009.46
Keyboard,2022-11-20,1,63.62,63.62
Mouse,2022-09-30,8,32.47,259.72
Tablet,2023-07-25,6,578.67,3472.0
Camera,2022-10-17,10,826.66,8266.58
Keyboard,2022-10-04,19,107.08,2034.45
Headphones,2022-03-24,20,104.55,2091.06
Keyboard,2023-11-29,19,88.18,1675.4
Headphones,2023-10-20,13,271.2,3525.6
Printer,2023-06-06,3,180.57,541.72
Smartwatch,2023-09-14,2,202.28,404.56
Camera,2022-06-13,4,584.58,2338.33
Smartphone,2023-06-28,16,888.32,14213.07
Tablet,2022-03-29,15,380.85,5712.74
Smartphone,2023-07-06,8,985.26,7882.06
Smartphone,2022-10-18,16,579.4,9270.32
Monitor,2022-08-06,15,291.78,4376.76
Smartwatch,2023-09-02,14,182.0,2547.95
Tablet,2023-08-28,9,475.88,4282.95
Laptop,2022-11-13,8,1423.34,11386.74
Mouse,2022-10-12,7,68.59,480.14
Laptop,2022-11-11,13,1224.06,15912.8
Smartphone,2022-07-16,9,519.32,4673.87
Headphones,2023-01-14,18,277.32,4991.69
Smartwatch,2023-07-28,16,183.85,2941.6
Mouse,2022-04-01,6,15.35,92.08
Monitor,2022-12-06,13,494.38,6426.9
Smartwatch,2023-01-24,19,347.42,6601.0
Headphones,2024-01-20,13,63.22,821.91
Monitor,2022-09-02,18,210.32,3785.71
Keyboard,2023-04-04,12,105.26,1263.14
Smartphone,2022-09-02,9,903.08,8127.71
Smartwatch,2022-12-26,5,194.19,970.93
Smartphone,2023-10-05,18,639.88,11517.9
Mouse,2022-01-26,20,43.4,868.02
Camera,2023-02-12,18,590.11,10622.07
Printer,2023-02-22,13,291.43,3788.54
Smartwatch,2023-04-22,8,141.86,1134.88
Keyboard,2023-03-12,20,128.15,2562.97
Smartwatch,2023-03-25,7,228.57,1600.0
Camera,2022-07-19,18,1255.02,22590.32
Printer,2023-02-11,20,326.1,6521.94
Mouse,2023-10-18,3,67.98,203.95
Camera,2022-05-10,20,1305.31,26106.15
Smartphone,2023-12-23,1,796.48,796.48
Keyboard,2022-10-08,17,74.75,1270.7
Mouse,2023-12-23,19,97.95,1860.96
Monitor,2023-10-29,14,193.52,2709.21
Monitor,2024-01-27,16,142.27,2276.25
Headphones,2023-11-14,18,236.37,4254.61
Keyboard,2022-03-31,11,158.03,1738.34
Headphones,2022-11-12,13,52.32,680.17
Keyboard,2023-05-31,1,146.92,146.92
Tablet,2023-09-17,13,372.89,4847.62
Mouse,2022-02-05,16,53.39,854.24
Printer,2023-11-06,17,156.27,2656.56
Smartwatch,2023-06-30,18,319.25,5746.42
Laptop,2022-03-28,3,1236.8,3710.39
Smartphone,2022-01-04,4,392.56,1570.24
Camera,2023-09-06,19,1301.68,24731.83
Mouse,2023-11-26,1,87.73,87.73
Tablet,2022-04-16,12,268.72,3224.68
Smartwatch,2022-11-28,9,274.61,2471.47
Tablet,2023-01-03,3,506.76,1520.29
Smartphone,2022-03-08,12,724.83,8697.94
Headphones,2023-12-07,20,291.18,5823.55
Smartwatch,2023-12-23,1,217.37,217.37
Headphones,2022-09-28,20,102.84,2056.88
Smartphone,2023-04-11,11,482.36,5305.99
Smartwatch,2022-11-11,7,252.7,1768.9
Mouse,2022-08-15,6,59.8,358.82
Mouse,2022-12-22,4,54.78,219.13
Smartphone,2022-11-17,9,710.72,6396.49
Smartwatch,2022-07-25,17,297.66,5060.15
Printer,2022-12-24,19,258.83,4917.83
Mouse,2022-03-28,10,60.75,607.48
Smartwatch,2022-07-21,11,338.76,3726.34
Printer,2022-10-01,3,303.47,910.4
Printer,2023-07-10,8,196.34,1570.71
Headphones,2022-11-25,6,90.08,540.46
Printer,2023-04-17,4,337.28,1349.12
Smartphone,2023-02-25,7,793.35,5553.45
Monitor,2022-05-28,19,441.26,8383.91
Mouse,2023-08-22,9,14.47,130.22
Laptop,2022-07-31,16,881.31,14101.0
Keyboard,2023-02-18,20,131.3,2626.04
Tablet,2023-03-02,14,235.91,3302.68
Printer,2022-10-01,10,134.43,1344.26
Mouse,2022-02-23,3,93.42,280.25
Camera,2023-09-15,20,1134.67,22693.46
Camera,2022-12-14,13,475.71,6184.27
Camera,2022-10-12,9,1446.21,13015.85
Headphones,2024-02-01,13,132.76,1725.89
Smartwatch,2023-07-20,7,345.09,2415.63
Headphones,2023-09-10,13,95.43,1240.62
Monitor,2022-08-03,8,384.76,3078.06
Smartwatch,2022-09-21,6,227.6,1365.59
Mouse,2022-02-01,2,11.21,22.42
Keyboard,2023-06-15,14,48.41,677.7
Monitor,2022-01-29,1,198.07,198.07
Laptop,2023-12-26,15,690.6,10359.03
Mouse,2022-03-17,8,11.46,91.64
Monitor,2022-01-31,11,430.23,4732.57
Keyboard,2023-06-02,12,101.41,1216.92
Laptop,2023-05-04,8,1124.11,8992.89
Smartphone,2023-04-12,1,977.03,977.03
Mouse,2022-06-06,4,39.75,159.01
Printer,2023-07-29,8,68.2,545.63
Headphones,2023-07-21,15,64.8,972.06
Smartphone,2022-12-27,10,442.13,4421.3
Smartphone,2023-09-16,8,665.41,5323.3
Camera,2023-12-05,9,1095.57,9860.11
Mouse,2022-05-27,1,38.68,38.68
Laptop,2022-04-25,18,900.69,16212.5
Smartphone,2023-10-12,1,489.76,489.76
Keyboard,2022-11-15,17,163.0,2771.01
Smartwatch,2023-03-03,13,293.39,3814.1
Camera,2023-10-24,16,1272.23,20355.61
Laptop,2022-10-05,7,1276.52,8935.67
Laptop,2022-07-29,4,1056.14,4224.57
Tablet,2022-01-15,9,572.3,5150.7
Printer,2022-09-29,17,116.26,1976.44
Monitor,2023-02-12,16,123.44,1975.05
Keyboard,2022-07-18,8,99.8,798.39
Laptop,2022-08-04,15,532.01,7980.14
Headphones,2023-11-13,4,103.41,413.66
Monitor,2023-10-31,11,382.43,4206.73
Mouse,2023-10-18,11,52.93,582.26
Printer,2022-11-07,7,97.64,683.46
Monitor,2023-05-03,15,397.26,5958.83
Smartwatch,2023-01-02,20,231.4,4628.0
Camera,2022-05-12,18,668.05,12024.81
Printer,2022-12-23,2,62.62,125.23
Smartwatch,2023-06-24,14,241.42,3379.93
Tablet,2023-06-01,20,640.01,12800.15
Smartwatch,2022-05-30,3,292.4,877.21
Laptop,2023-04-01,6,1053.85,6323.11
Printer,2022-05-09,1,199.58,199.58
Camera,2022-11-30,13,1484.48,19298.19
Camera,2023-11-16,15,997.17,14957.49
Smartphone,2022-02-20,19,775.68,14737.91
Mouse,2023-11-16,8,54.98,439.87
Camera,2023-07-23,1,733.27,733.27
Camera,2024-01-25,3,345.1,1035.29
Tablet,2023-04-05,4,674.31,2697.22
Keyboard,2022-01-23,6,50.86,305.14
Tablet,2023-01-20,19,364.09,6917.78
Smartphone,2022-06-10,9,746.62,6719.56
Camera,2023-06-06,5,418.44,2092.19
Camera,2024-02-10,4,1146.95,4587.79
Laptop,2022-07-15,13,870.42,11315.46
Smartphone,2023-03-06,8,781.52,6252.16
Smartwatch,2022-01-28,15,162.38,2435.68
Printer,2022-07-19,20,375.48,7509.57
Camera,2022-10-13,13,591.71,7692.26
Keyboard,2022-02-11,12,172.8,2073.54
Mouse,2022-10-09,10,34.23,342.29
Mouse,2022-03-20,1,99.47,99.47
Camera,2024-02-01,15,431.92,6478.75
Camera,2022-02-08,11,1391.56,15307.11
Smartphone,2023-04-25,11,544.56,5990.18
Monitor,2022-01-05,11,116.59,1282.49
Smartwatch,2023-09-04,19,309.91,5888.22
Camera,2023-06-15,4,1259.27,5037.07
Printer,2023-06-06,10,59.19,591.92
Camera,2023-04-28,12,1469.07,17628.81
Monitor,2022-10-18,11,391.5,4306.47
Camera,2022-06-08,16,301.47,4823.52
Camera,2022-06-23,9,909.07,8181.6
Laptop,2022-10-10,13,592.22,7698.92
Smartphone,2022-10-30,9,948.08,8532.68
Mouse,2022-07-05,2,33.52,67.05
Monitor,2022-11-24,17,337.74,5741.63
Laptop,2022-09-26,1,519.45,519.45
Smartphone,2023-04-07,8,360.72,2885.78
Tablet,2023-06-04,13,514.02,6682.31
Printer,2022-10-25,9,155.04,1395.37
Headphones,2023-08-17,1,207.84,207.84
Monitor,2023-04-19,14,259.56,3633.81
Headphones,2023-06-18,8,131.87,1054.94
Camera,2023-02-03,5,1396.8,6984.01
Laptop,2023-02-10,10,903.53,9035.3
Laptop,2022-12-09,17,1070.22,18193.67
Printer,2022-09-11,16,239.53,3832.52
Smartphone,2022-03-10,2,529.87,1059.74
Laptop,2023-01-26,13,644.2,8374.63
Keyboard,2023-04-25,9,108.33,974.98
Keyboard,2023-10-27,11,179.58,1975.35
Smartwatch,2023-09-16,13,320.22,4162.85
Laptop,2023-09-28,16,1036.64,16586.26
Tablet,2023-12-08,19,251.87,4785.51
Mouse,2022-11-21,2,94.94,189.87
Camera,2023-10-28,20,1050.65,21012.99
Smartphone,2022-05-29,8,307.01,2456.09
Smartphone,2023-01-20,17,822.07,13975.11
Camera,2023-07-26,8,815.24,6521.95
Printer,2022-11-04,17,340.71,5792.15
Laptop,2023-05-23,17,540.95,9196.19
Monitor,2022-11-12,19,107.54,2043.27
Camera,2023-07-22,17,928.12,15777.97
Smartphone,2023-12-24,19,686.77,13048.71
Tablet,2023-12-16,17,584.95,9944.16
Monitor,2023-02-19,6,453.17,2719.04
Printer,2023-09-14,5,382.66,1913.3
Keyboard,2022-05-11,8,33.23,265.87
Smartphone,2023-05-19,3,841.95,2525.85
Camera,2022-08-05,15,739.68,11095.22
Headphones,2023-08-11,14,266.74,3734.31
Headphones,2023-05-17,5,268.31,1341.54
Headphones,2023-05-28,14,125.28,1753.92
Laptop,2022-01-20,12,959.37,11512.4
Printer,2022-10-21,17,328.3,5581.14
Headphones,2023-11-21,20,182.84,3656.73
Tablet,2023-09-23,9,478.04,4302.4
Smartwatch,2022-03-19,6,183.66,1101.95
Laptop,2023-12-17,3,724.66,2173.97
Printer,2024-02-05,19,186.05,3534.88
Camera,2022-09-28,17,1081.54,18386.26
Mouse,2022-05-08,5,67.53,337.67
Tablet,2022-02-28,2,737.46,1474.93
Mouse,2022-02-25,10,24.8,248.0
Monitor,2023-11-29,12,456.94,5483.34
Mouse,2023-01-15,20,94.14,1882.78
Mouse,2023-11-13,13,63.46,824.97
Camera,2023-06-23,8,587.19,4697.51
Camera,2023-10-13,5,427.78,2138.92
Tablet,2023-03-02,17,798.42,13573.2
Smartwatch,2024-02-06,10,331.48,3314.83
Keyboard,2023-02-20,1,73.79,73.79
Mouse,2022-03-01,1,50.97,50.97
Mouse,2023-09-30,10,70.32,703.23
Headphones,2024-01-16,13,114.2,1484.6
Printer,2024-01-06,9,52.37,471.34
Keyboard,2023-10-28,20,52.6,1051.95
Monitor,2023-11-11,4,276.16,1104.64
Smartwatch,2023-06-02,11,331.72,3648.89
Camera,2023-08-19,3,687.6,2062.81
Keyboard,2023-01-26,14,189.6,2654.45
Camera,2022-02-05,7,351.7,2461.92
Tablet,2023-03-31,10,783.95,7839.55
Smartwatch,2022-09-10,18,317.86,5721.45
Laptop,2022-03-11,20,1453.85,29076.99
Tablet,2023-12-19,16,597.47,9559.49
Smartphone,2023-05-24,8,541.64,4333.09
Tablet,2024-01-04,1,554.91,554.91
Printer,2023-04-15,3,265.28,795.83
Laptop,2023-04-05,5,734.13,3670.64
Laptop,2023-06-27,8,998.86,7990.91
Monitor,2023-10-19,1,429.5,429.5
Headphones,2023-03-25,9,209.81,1888.3
Mouse,2023-08-06,7,85.16,596.11
Laptop,2023-05-30,8,645.07,5160.56
Printer,2023-07-19,19,152.97,2906.43
Smartphone,2022-12-02,7,342.44,2397.1
Mouse,2022-05-09,6,18.13,108.79
Tablet,2023-09-28,11,749.79,8247.64
Mouse,2022-04-30,14,74.8,1047.21
Laptop,2023-12-09,15,1462.74,21941.06
Monitor,2022-01-08,1,484.67,484.67
Headphones,2023-05-11,20,114.16,2283.17
Tablet,2022-09-05,8,616.03,4928.26
Tablet,2022-10-01,17,617.14,10491.33
Headphones,2022-11-13,17,184.03,3128.49
Printer,2022-06-19,12,309.58,3715.0
Mouse,2022-03-02,5,26.61,133.07
Keyboard,2022-02-05,5,160.03,800.16
Printer,2022-01-11,12,369.24,4430.92
Camera,2023-03-23,9,1378.04,12402.33
Mouse,2023-09-19,1,60.63,60.63
Monitor,2022-08-02,6,209.47,1256.84
Printer,2022-11-01,15,54.57,818.48
Laptop,2022-03-25,5,1256.31,6281.55
Smartwatch,2022-04-28,14,326.86,4576.04
Laptop,2022-07-23,16,790.91,12654.57
Keyboard,2023-10-30,19,155.24,2949.59
Headphones,2022-06-05,18,171.22,3082.03
Monitor,2023-11-03,11,445.13,4896.38
Tablet,2023-12-20,2,493.61,987.22
Camera,2022-09-10,10,918.14,9181.36
Keyboard,2022-09-09,9,111.37,1002.31
Keyboard,2022-06-14,15,36.81,552.14
Mouse,2024-01-24,8,24.43,195.47
Tablet,2022-08-28,17,467.06,7939.94
Headphones,2022-10-22,11,161.4,1775.4
Printer,2023-07-31,2,207.26,414.51
Monitor,2022-12-02,13,418.5,5440.52
Tablet,2023-11-05,6,536.81,3220.85
Keyboard,2023-02-19,11,144.5,1589.46
Monitor,2023-05-27,12,427.76,5133.09
Smartphone,2023-10-22,12,960.96,11531.48
Camera,2024-01-05,17,1106.19,18805.27
Laptop,2022-01-29,18,531.69,9570.42
Keyboard,2023-07-01,4,137.65,550.59
Monitor,2022-06-29,18,329.69,5934.46
Camera,2024-01-31,7,602.75,4219.26
Tablet,2023-12-05,18,256.3,4613.45
Laptop,2023-11-04,10,1071.76,10717.65
Keyboard,2022-10-25,5,74.7,373.51
Smartphone,2023-08-09,1,710.15,710.15
Smartphone,2022-12-29,3,523.96,1571.87
Tablet,2023-11-14,17,709.13,12055.24
Headphones,2022-07-13,18,79.99,1439.78
Printer,2022-08-08,10,65.31,653.05
Headphones,2022-12-25,12,114.9,1378.86
Headphones,2023-03-20,20,125.75,2515.08
Headphones,2022-08-08,5,239.51,1197.57
Printer,2023-11-12,10,124.74,1247.42
Smartwatch,2022-03-05,19,344.89,6552.91
Tablet,2023-11-24,20,354.1,7081.95
Keyboard,2023-07-26,14,164.38,2301.38
Mouse,2022-07-05,16,19.7,315.14
Printer,2023-02-04,5,84.18,420.88
Smartphone,2023-07-10,6,306.68,1840.06
Monitor,2023-07-15,3,192.62,577.87
Smartphone,2023-02-09,2,688.86,1377.73
Smartphone,2022-01-04,17,900.53,15309.05
Mouse,2022-05-07,17,54.12,920.05
Laptop,2022-02-18,16,612.48,9799.75
Camera,2023-06-24,19,1157.42,21990.91
Smartwatch,2023-06-16,8,138.28,1106.24
Mouse,2023-01-07,18,70.02,1260.28
Keyboard,2023-10-26,8,79.78,638.22
Printer,2023-02-20,10,196.97,1969.66
Smartphone,2023-02-07,20,784.27,15685.37
Laptop,2023-08-13,6,577.37,3464.22
Camera,2022-08-29,8,906.54,7252.34
Headphones,2022-03-04,1,100.95,100.95
Laptop,2023-10-07,20,687.13,13742.6
Smartwatch,2023-08-11,20,201.2,4024.05
Smartwatch,2023-12-25,7,248.07,1736.48
Monitor,2022-11-09,10,229.6,2296.03
Mouse,2022-07-03,15,94.84,1422.67
Tablet,2023-08-01,4,672.22,2688.9
Camera,2023-02-15,9,1266.44,11397.93
Monitor,2023-09-15,14,280.44,3926.22
Smartwatch,2022-09-20,11,233.05,2563.55
Tablet,2022-03-04,3,447.65,1342.94
Headphones,2022-10-04,11,286.84,3155.19
Headphones,2023-06-07,1,166.79,166.79
Monitor,2023-02-27,3,250.52,751.55
Laptop,2023-12-29,18,654.95,11789.08
Smartwatch,2022-11-27,20,211.58,4231.6
Smartphone,2022-10-02,3,709.1,2127.31
Mouse,2022-03-18,4,13.67,54.68
Headphones,2022-10-08,10,174.88,1748.81
Headphones,2022-04-16,18,54.48,980.69
Printer,2023-11-13,4,113.99,455.98
Mouse,2023-06-30,19,69.22,1315.13
Monitor,2023-06-07,18,196.88,3543.87
Keyboard,2022-07-09,7,116.98,818.88
Laptop,2023-02-20,14,1281.81,17945.41
Printer,2023-08-21,9,199.4,1794.59
Printer,2023-05-27,13,267.14,3472.88
Laptop,2022-01-04,12,1153.84,13846.08
Headphones,2022-09-10,20,236.52,4730.37
Monitor,2022-06-29,17,272.96,4640.24
Tablet,2023-08-25,1,585.37,585.37
Laptop,2023-11-19,9,968.37,8715.34
Printer,2023-02-20,6,198.28,1189.68
Mouse,2022-11-20,5,14.22,71.12
Smartphone,2023-05-24,16,927.63,14842.03
Smartwatch,2023-06-09,7,311.71,2181.97
Mouse,2023-04-19,20,18.36,367.14
Keyboard,2023-03-29,1,171.23,171.23
Camera,2024-01-12,20,316.38,6327.53
Printer,2023-05-08,7,248.23,1737.61
Keyboard,2023-03-22,15,101.49,1522.4
Mouse,2022-09-21,10,57.46,574.61
Smartwatch,2023-07-04,15,266.35,3995.32
Smartphone,2024-01-17,19,742.06,14099.21
Printer,2023-01-15,18,223.54,4023.67
Smartphone,2022-04-26,18,649.69,11694.36
Headphones,2022-06-05,16,82.31,1316.93
Mouse,2022-08-17,12,88.72,1064.67
Mouse,2022-09-05,16,37.56,600.92
Camera,2023-04-08,14,565.78,7920.89
Keyboard,2022-05-13,15,175.33,2629.88
Smartwatch,2023-07-30,3,174.83,524.5
Mouse,2022-02-26,5,81.47,407.35
Laptop,2023-03-19,8,1327.61,10620.88
Headphones,2023-01-21,2,289.39,578.78
Monitor,2022-09-25,15,216.56,3248.44
Printer,2023-04-23,8,199.16,1593.28
Printer,2022-10-17,13,59.59,774.68
Monitor,2023-12-23,15,146.72,2200.78
Camera,2022-02-14,19,502.79,9552.94
Tablet,2022-07-02,10,443.07,4430.66
Laptop,2023-06-10,18,1032.78,18590.07
Tablet,2023-06-14,18,568.06,10225.01
Laptop,2022-12-16,8,809.85,6478.77
Smartphone,2022-07-25,12,400.07,4800.84
Laptop,2023-04-29,1,908.0,908.0
Monitor,2022-03-01,9,426.04,3834.37
Smartwatch,2022-07-25,8,241.71,1933.7
Monitor,2022-01-27,6,350.85,2105.12
Camera,2023-08-17,17,815.37,13861.37
Camera,2022-03-01,13,1296.39,16853.07
Headphones,2022-03-12,19,255.39,4852.47
Headphones,2022-02-04,14,296.79,4155.05
Headphones,2022-08-01,18,141.13,2540.28
Smartwatch,2022-06-13,20,189.51,3790.19
Camera,2022-05-04,6,921.29,5527.75
Camera,2022-09-02,19,1411.49,26818.38
Smartwatch,2022-06-12,15,208.09,3121.41
Printer,2023-12-10,9,110.26,992.36
Smartphone,2023-02-12,1,655.4,655.4
Laptop,2023-08-25,17,1333.42,22668.1
Smartphone,2023-04-15,14,308.82,4323.48
Mouse,2022-06-24,13,43.63,567.14
Keyboard,2022-03-24,5,94.67,473.35
Keyboard,2022-04-18,5,70.76,353.82
Camera,2022-05-19,4,857.72,3430.9
Monitor,2022-08-07,5,119.63,598.13
Keyboard,2022-09-11,2,171.8,343.59
Smartphone,2023-11-12,17,426.36,7248.2
